<<<<<<< HEAD
Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,41,7.4,7.2
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,195,14.5,13.1
=======
Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2014,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,11,.,.
2011,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,290,21.7,18.2
2008,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,60,.,.
2010,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1045,85.9,98.5
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,170,19.9,23.3
2007,Mental and Behavioral Disorders due to Use of Alcohol (F10),M,Not Stated/Unknown,.,.,.
2011,All Other Causes,F,Not Stated/Unknown,14,.,.
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,163,15.5,14.8
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,101,8.2,9.5
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1382,123.1,227.9
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Other Race/ Ethnicity,.,.,.
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,13,.,.
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2365,226.4,187.3
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,.,.,.
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,402,68.8,81.2
2012,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1563,182.7,215.3
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,98,17.2,20.6
2014,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Not Stated/Unknown,.,.,.
2009,All Other Causes,F,Asian and Pacific Islander,220,40.1,48.9
2014,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,71,12.4,14.2
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,148,17.1,17.7
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,271,25.9,22.1
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,448,81.6,108.7
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,180,12.7,6.7
2008,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,6,.,.
2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,173,14.8,15.5
2014,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,66,.,.
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,White Non-Hispanic,88,6.2,6.1
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,169,11.9,7.4
2008,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,245,18.3,15.4
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,214,20.5,17.4
2012,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,8,.,.
2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Not Stated/Unknown,.,.,.
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,295,28,26.9
2009,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,.,.,.
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,191,16.3,19.7
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Other Race/ Ethnicity,5,.,.
2012,"Assault (Homicide: Y87.1, X85-Y09)",F,Other Race/ Ethnicity,.,.,.
2008,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,210,14.6,8.8
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7,.,.
2007,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,45,.,.
2013,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,300,35,41.1
2013,All Other Causes,F,Black Non-Hispanic,1557,149.1,129.5
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1201,104.2,180.8
2007,Septicemia (A40-A41),F,Hispanic,49,4.2,5.5
2012,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,158,12.8,14.6
2010,All Other Causes,M,Not Stated/Unknown,32,.,.
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,91,15.9,19.3
2007,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,137,16.1,22.7
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Black Non-Hispanic,163,19.1,19
2012,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,153,11.4,9.3
2014,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,95,16.6,22.9
2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,267,31.3,31.1
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,162,14.1,16.2
2014,All Other Causes,M,Asian and Pacific Islander,424,73.9,90.4
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,10,.,.
2010,Alzheimer's Disease (G30),F,Black Non-Hispanic,88,8.4,7.3
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,169,19.9,26.4
2012,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,34,.,.
2011,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1918,183.2,163.3
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,176,14.7,16.9
2010,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3408,254.1,216.6
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,126,11.6,20
2010,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,6,.,.
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,267,25.5,23.6
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2121,248.9,340.2
2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,.,.,.
2008,Aortic Aneurysm and Dissection (I71),M,Other Race/ Ethnicity,.,.,.
2009,Septicemia (A40-A41),F,Not Stated/Unknown,.,.,.
2013,All Other Causes,F,Not Stated/Unknown,79,.,.
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Other Race/ Ethnicity,10,.,.
2007,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,345,25.8,21.7
2010,All Other Causes,M,Asian and Pacific Islander,308,59.2,77.2
2013,All Other Causes,F,Other Race/ Ethnicity,39,.,.
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,146,17.2,18.1
2008,All Other Causes,M,Other Race/ Ethnicity,8,.,.
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,5,.,.
2011,Certain Conditions originating in the Perinatal Period (P00-P96),M,Asian and Pacific Islander,19,3.6,4.2
2012,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,242,28.3,37.4
2007,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3356,250.9,213.7
2012,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1126,96.4,151
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,.,.,.
2008,Diabetes Mellitus (E10-E14),M,Hispanic,191,17.3,31.3
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,8,.,.
2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,26,5.1,7.2
2010,All Other Causes,F,Other Race/ Ethnicity,27,.,.
2011,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,154,18.1,21.7
2011,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,83,14.5,17.8
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,104,8.8,11.4
2009,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,148,11,9.1
2012,All Other Causes,M,Black Non-Hispanic,1320,154.3,175
2008,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,380,36.3,34.3
2012,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,285,21.3,17.6
2009,All Other Causes,F,Other Race/ Ethnicity,11,.,.
2010,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,384,36.6,33
2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Other Race/ Ethnicity,5,.,.
2009,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,506,99.1,127
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Other Race/ Ethnicity,.,.,.
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,70,13.6,17.6
2009,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,290,21.6,18.2
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,17,3.3,3.5
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,248,23.6,22.1
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,105,18.3,25
2013,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,467,77.8,79.6
2013,Alzheimer's Disease (G30),F,White Non-Hispanic,263,18.5,8.4
2010,All Other Causes,F,Asian and Pacific Islander,238,42.3,51.6
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1330,120.3,228
2008,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Asian and Pacific Islander,13,2.4,3.3
2009,Alzheimer's Disease (G30),F,Black Non-Hispanic,79,7.5,6.8
2013,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,71,12.8,16.1
2009,All Other Causes,M,White Non-Hispanic,1818,135.1,118.5
2012,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,209,16.9,19.6
2009,Diabetes Mellitus (E10-E14),F,Hispanic,215,18,22.2
2008,All Other Causes,M,Not Stated/Unknown,67,.,.
2010,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,29,.,.
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,199,14,7.2
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,.,.,.
2012,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,204,19.5,16.9
2013,All Other Causes,M,Not Stated/Unknown,139,.,.
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,5351,374.2,189.2
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,1840,215.7,268.3
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Not Stated/Unknown,5,.,.
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,61,11.7,17.8
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,158,18.5,20.6
2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,.,.,.
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,12,.,.
2013,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,8,.,.
2014,All Other Causes,M,Not Stated/Unknown,96,.,.
2013,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,72,13,18.5
2014,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,563,39.7,20.4
2012,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,461,78.9,83.8
2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,134,15.8,20.9
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,402,70.5,86.1
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,219,15.3,7.7
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,10,.,.
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,14,.,.
2009,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,143,12.7,21.1
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,.,.,.
2012,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,205,17.5,31.5
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Other Race/ Ethnicity,5,.,.
2013,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,204,23.8,23.2
2010,Viral Hepatitis (B15-B19),F,Not Stated/Unknown,.,.,.
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,189,16.5,18.4
2013,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,18,.,.
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,.,.,.
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Not Stated/Unknown,.,.,.
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,147,17.3,18.3
2013,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,622,43.7,22.1
2008,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,.,.,.
2012,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,9,.,.
2010,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.,.,.
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,190,16.3,22.3
2011,Viral Hepatitis (B15-B19),M,Not Stated/Unknown,.,.,.
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,180,15.6,18.9
2012,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,622,115.1,138.4
2011,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,.,.,.
2012,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Other Race/ Ethnicity,.,.,.
2014,All Other Causes,F,Not Stated/Unknown,48,.,.
2012,All Other Causes,M,Other Race/ Ethnicity,24,.,.
2009,All Other Causes,M,Not Stated/Unknown,55,.,.
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,.,.,.
2010,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,149,13,23.9
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,.,.,.
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7,.,.
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,10,.,.
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,199,14,6.8
2010,Diabetes Mellitus (E10-E14),F,Hispanic,219,18,21.5
2011,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,167,14.5,18.8
2014,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,90,8.6,7.1
2012,All Other Causes,M,Not Stated/Unknown,78,.,.
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,297,22.2,19.8
2011,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,550,104.1,130.4
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.,.,.
2011,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,266,31.2,31.5
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,70,5.7,5.7
2011,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",M,Not Stated/Unknown,.,.,.
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,10,.,.
2010,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,138,12.1,12.9
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,53,11,13
2013,Alzheimer's Disease (G30),F,Hispanic,120,9.6,11
2012,Alzheimer's Disease (G30),F,Hispanic,126,10.2,12.2
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,162,11.3,7.3
2007,Septicemia (A40-A41),F,Black Non-Hispanic,89,8.5,8.1
2009,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,61,11.1,14.1
2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Other Race/ Ethnicity,12,.,.
2009,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1180,105.1,172.2
2009,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,8,.,.
2007,Diabetes Mellitus (E10-E14),F,Hispanic,205,17.6,22.6
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,9,.,.
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Not Stated/Unknown,.,.,.
2009,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3346,232.9,159
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,96,8,8.1
2013,Viral Hepatitis (B15-B19),F,Asian and Pacific Islander,15,2.5,2.5
2009,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,5,.,.
2013,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,25,.,.
2011,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3371,238,161.1
2012,All Other Causes,M,Asian and Pacific Islander,333,61.6,79.7
2009,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1097,91.6,107.2
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Not Stated/Unknown,.,.,.
2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,204,15.2,13.6
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1263,102,118.4
2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Other Race/ Ethnicity,5,.,.
2013,Chronic Lower Respiratory Diseases (J40-J47),M,Other Race/ Ethnicity,.,.,.
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2015,236.7,307.7
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2243,214.3,186.7
2009,All Other Causes,F,Black Non-Hispanic,1305,124.6,117.3
2008,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,36,.,.
2011,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,142,10.6,8.8
2010,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,299,35.1,35.5
2014,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",M,Asian and Pacific Islander,28,4.9,5.8
2014,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,657,114.5,129.5
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,43,.,.
2010,All Other Causes,M,White Non-Hispanic,2034,151.6,130.9
2014,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,502,37.4,29.7
2011,Diabetes Mellitus (E10-E14),F,Hispanic,196,16,18.5
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,279,26.5,25.3
2014,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,292,21.7,18.1
2014,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,10,.,.
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,4535,319,160.6
2010,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,28,5,6.7
2014,Diabetes Mellitus (E10-E14),F,Hispanic,209,16.5,17.9
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,113,9.6,9.6
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,61,11.5,14.8
2014,Septicemia (A40-A41),F,White Non-Hispanic,118,8.3,4.7
2010,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,501,35,20.7
2010,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,5,.,.
2012,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,240,16.9,10.3
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,179,14.6,17.3
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,.,.,.
2011,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,37,7,10.5
2008,All Other Causes,F,White Non-Hispanic,1706,118.9,78.6
2014,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1852,176.5,148.4
2011,Alzheimer's Disease (G30),F,Black Non-Hispanic,90,8.6,7.4
2013,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,410,39.3,33.1
2007,All Other Causes,F,White Non-Hispanic,1680,117.1,81.5
2007,All Other Causes,M,Hispanic,988,90.6,142.6
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,7,.,.
2010,Septicemia (A40-A41),F,Not Stated/Unknown,.,.,.
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,29,4.6,5.1
2013,All Other Causes,F,White Non-Hispanic,2595,182.5,111.1
2012,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,409,39.1,33.8
2012,Septicemia (A40-A41),M,Other Race/ Ethnicity,6,.,.
2009,"Assault (Homicide: Y87.1, X85-Y09)",M,Not Stated/Unknown,7,.,.
2013,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,427,30,16.4
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,54,10.4,13.7
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,119,10.6,14.1
2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,17,3,2.9
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,56,4.7,5.3
2009,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,84,16.5,26.1
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,.,.,.
2012,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,17,.,.
2014,All Other Causes,F,Other Race/ Ethnicity,59,.,.
2012,All Other Causes,M,Hispanic,1199,102.6,150.5
2007,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,.,.,.
2012,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Hispanic,54,4.4,4.6
2007,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,22,.,.
2009,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,83,15.1,20.3
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2077,244.6,330.2
2008,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,246,18.3,15.6
2011,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,218,17.8,21.5
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,21,.,.
2011,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,147,12.8,20.9
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Not Stated/Unknown,10,.,.
2012,Septicemia (A40-A41),F,Other Race/ Ethnicity,.,.,.
2014,All Other Causes,M,Other Race/ Ethnicity,74,.,.
2008,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,265,31.2,40.2
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,.,.,.
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,144,13.8,12.4
2012,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,57,9.8,11.4
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,187,14,12.7
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,40,.,.
2014,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1146,96,143.5
2007,All Other Causes,M,White Non-Hispanic,1749,130.7,115.9
2014,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,155,18,21.6
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,478,91.8,130
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,222,20.1,22.7
2010,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,.,.,.
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,115,.,.
2014,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1532,177.5,199.6
2009,All Other Causes,M,Asian and Pacific Islander,220,43.1,56.1
2012,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,74,12.7,15.1
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Hispanic,63,5.3,6.2
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,166,11.7,8.1
2011,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,30,5.3,6.6
2007,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,.,.,.
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,177,12.5,8.5
2009,All Other Causes,M,Other Race/ Ethnicity,18,.,.
2013,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1149,92.1,99.9
2007,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,246,28.9,38.1
